time,flight mode,control,x,y,z,yaw,wall_angle,wall_dist
1495268003.606364886,4,1,0,0,0.75,0.0920963,0.819652,1436.49
1495268003.613037205,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.619711316,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.626379760,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.633041080,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.639700524,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.646373885,4,1,0,0,0.75,0.0915541,0,1436.49
1495268003.653034829,4,1,0,0,0.75,0.0909079,0,1436.49
1495268003.659710565,4,1,0,0,0.75,0.0909079,0,1436.49
1495268003.666372551,4,1,0,0,0.75,0.0909079,0,1436.49
1495268003.673029537,4,1,0,0,0.75,0.0909079,0,1436.49
1495268003.679697857,4,1,0,0,0.75,0.0909079,0,1436.49
1495268003.686368259,4,1,0,0,0.75,0.0904466,0,1436.49
1495268003.693035120,4,1,0,0,0.75,0.0904466,0,1436.49
1495268003.699693481,4,1,0,0,0.75,0.0904466,0,1436.49
1495268003.706377759,4,1,0,0,0.75,0.0904466,0,1436.49
1495268003.713023620,4,1,0,0,0.75,0.0904466,0,1436.49
1495268003.719696773,4,1,0,0,0.75,0.0892266,0,1436.49
1495268003.726369634,4,1,0,0,0.75,0.0892266,0,1436.49
1495268003.733120619,4,1,0,0,0.75,0.0892266,0.788414,1414.94
1495268003.739692481,4,1,0,0,0.75,0.0892266,0,1414.94
1495268003.746399466,4,1,0,0,0.75,0.0892266,0,1414.94
1495268003.753046036,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.759707230,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.766396258,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.773029119,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.779704688,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.786369091,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.793035619,4,1,0,0,0.75,0.0880389,0,1414.94
1495268003.799704896,4,1,0,0,0.75,0.0865981,0,1414.94
1495268003.806363632,4,1,0,0,0.75,0.0865981,0,1414.94
1495268003.813039118,4,1,0,0,0.75,0.0865981,0,1414.94
1495268003.819695729,4,1,0,0,0.75,0.0865981,0,1414.94
1495268003.826360924,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.833060368,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.839737645,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.846395256,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.853108992,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.859718312,4,1,0,0,0.75,0.0854176,0,1414.94
1495268003.866390131,4,1,0,0,0.75,0.0836084,0,1414.94
1495268003.873159033,4,1,0,0,0.75,0.0836084,0.753736,1403.26
1495268003.879740228,4,1,0,0,0.75,0.0836084,0,1403.26
1495268003.886390631,4,1,0,0,0.75,0.0836084,0,1403.26
1495268003.893211532,4,1,0,0,0.75,0.0836084,0,1403.26
1495268003.899821102,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.906411713,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.913046116,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.919699477,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.926375172,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.933052074,4,1,0,0,0.75,0.0817574,0,1403.26
1495268003.939693852,4,1,0,0,0.75,0.0791008,0,1403.26
1495268003.946364255,4,1,0,0,0.75,0.0791008,0,1403.26
1495268003.953047782,4,1,0,0,0.75,0.0791008,0,1403.26
1495268003.959703477,4,1,0,0,0.75,0.0791008,0,1403.26
1495268003.966359171,4,1,0,0,0.75,0.0791008,0,1403.26
1495268003.973038657,4,1,0,0,0.75,0.07653,0,1403.26
1495268003.979699268,4,1,0,0,0.75,0.07653,0,1403.26
1495268003.986361296,4,1,0,0,0.75,0.07653,0,1403.26
1495268003.993085031,4,1,0,0,0.75,0.07653,0,1403.26
1495268003.999722226,4,1,0,0,0.75,0.07653,0,1403.26
1495268004.006394920,4,1,0,0,0.75,0.07653,0.667689,1360.28
1495268004.013049656,4,1,0,0,0.75,0.0746787,0,1360.28
1495268004.019707851,4,1,0,0,0.75,0.0746787,0,1360.28
1495268004.026385003,4,1,0,0,0.75,0.0746787,0,1360.28
1495268004.033050489,4,1,0,0,0.75,0.0746787,0,1360.28
1495268004.039704434,4,1,0,0,0.75,0.0746787,0,1360.28
1495268004.046367961,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.053083447,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.059770224,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.066368211,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.073032072,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.079693933,4,1,0,0,0.75,0.0728372,0,1360.28
1495268004.086361919,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.093064905,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.099697641,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.106360919,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.113062446,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.119701516,4,1,0,0,0.75,0.0705559,0,1360.28
1495268004.126362377,4,1,0,0,0.75,0.0676958,0,1360.28
1495268004.133113487,4,1,0,0,0.75,0.0676958,0,1360.28
1495268004.139694265,4,1,0,0,0.75,0.0676958,0.561399,1319.43
1495268004.146372084,4,1,0,0,0.75,0.0676958,0,1319.43
1495268004.153034654,4,1,0,0,0.75,0.0676958,0,1319.43
1495268004.159712056,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.166390792,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.173042320,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.179699764,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.186378042,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.193044070,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.199726764,4,1,0,0,0.75,0.064956,0,1319.43
1495268004.206364875,4,1,0,0,0.75,0.0619527,0,1319.43
1495268004.213043444,4,1,0,0,0.75,0.0619527,0,1319.43
1495268004.219700347,4,1,0,0,0.75,0.0619527,0,1319.43
1495268004.226364291,4,1,0,0,0.75,0.0619527,0,1319.43
1495268004.233029111,4,1,0,0,0.75,0.0619527,0,1319.43
1495268004.239698388,4,1,0,0,0.75,0.0599763,0,1319.43
1495268004.246378958,4,1,0,0,0.75,0.0599763,0,1319.43
1495268004.253026444,4,1,0,0,0.75,0.0599763,0,1319.43
1495268004.259659388,4,1,0,0,0.75,0.0599763,0,1319.43
1495268004.266562747,4,1,0,0,0.75,0.0599763,0.531116,1295.16
1495268004.273056943,4,1,0,0,0.75,0.0586046,0,1295.16
1495268004.279728262,4,1,0,0,0.75,0.0586046,0,1295.16
1495268004.286386207,4,1,0,0,0.75,0.0586046,0,1295.16
1495268004.293031360,4,1,0,0,0.75,0.0586046,0,1295.16
1495268004.299689512,4,1,0,0,0.75,0.0586046,0,1295.16
1495268004.306372748,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.313039734,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.319705095,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.326366456,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.333034942,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.339697220,4,1,0,0,0.75,0.0578197,0,1295.16
1495268004.346363248,4,1,0,0,0.75,0.0563779,0,1295.16
1495268004.353039567,4,1,0,0,0.75,0.0563779,0,1295.16
1495268004.359700720,4,1,0,0,0.75,0.0563779,0,1295.16
1495268004.366360206,4,1,0,0,0.75,0.0563779,0,1295.16
1495268004.373068775,4,1,0,0,0.75,0.0563779,0,1295.16
1495268004.379769302,4,1,0,0,0.75,0.0544852,0,1295.16
1495268004.386370497,4,1,0,0,0.75,0.0544852,0,1295.16
1495268004.393196190,4,1,0,0,0.75,0.0544852,0,1295.16
1495268004.399695219,4,1,0,0,0.75,0.0544852,0.456797,1260.62
1495268004.406361663,4,1,0,0,0.75,0.0544852,0,1260.62
1495268004.413034358,4,1,0,0,0.75,0.0544852,0,1260.62
1495268004.419712135,4,1,0,0,0.75,0.0518526,0,1260.62
1495268004.426377496,4,1,0,0,0.75,0.0518526,0,1260.62
1495268004.433036357,4,1,0,0,0.75,0.0518526,0,1260.62
