time,x,y,z,roll,pitch,yaw
23.439659,0.181097,-2.83172,1.34927,-0.0601154,-0.0863155,2.73509,202
23.506842,0.15648,-2.81534,1.34769,-0.0589285,-0.0768859,2.67736,203
23.574025,0.131028,-2.80938,1.34484,-0.053628,-0.0817061,2.61058,204
23.607617,0.116846,-2.80702,1.34884,-0.0515926,-0.0775335,2.57735,205
23.741983,0.0693439,-2.78736,1.3446,-0.0482617,-0.0708467,2.44414,206
23.809166,0.0391062,-2.78593,1.35059,-0.0534788,-0.0675161,2.36713,207
23.876349,0.0250026,-2.76574,1.34591,-0.0600512,-0.0697384,2.30853,208
23.977123,-0.00637137,-2.75318,1.35225,-0.0762286,-0.0562848,2.20014,209
24.111489,-0.0276146,-2.7108,1.3487,-0.0789577,-0.0385208,2.08657,210
24.145049,-0.0509701,-2.68596,1.34517,-0.0731419,-0.031264,2.02832,211
24.279129,-0.0483726,-2.66663,1.34511,-0.0778965,-0.0219941,1.96329,212
24.346027,-0.0537584,-2.6533,1.34215,-0.0755383,-0.0229572,1.91821,213
24.412892,-0.0503958,-2.63681,1.3393,-0.0762375,-0.0270557,1.87888,214
24.513190,-0.0541559,-2.61575,1.34266,-0.0837754,-0.027146,1.8205,215
24.646921,-0.0391565,-2.58269,1.34727,-0.109178,-0.0170282,1.76533,216
24.713787,-0.0443634,-2.56664,1.34562,-0.122426,-0.0195939,1.73749,217
24.780652,-0.0437478,-2.54853,1.35238,-0.138351,-0.0155414,1.71544,218
24.880951,-0.0394622,-2.52684,1.34428,-0.145319,-0.0110723,1.68765,219
24.947816,-0.0145803,-2.51971,1.33797,-0.138563,-0.00982571,1.68246,220
25.081547,-0.0313426,-2.48123,1.3346,-0.126384,-0.00421513,1.67341,221
25.181845,-0.0322682,-2.45177,1.3532,-0.116588,0.00205604,1.67638,222
25.248711,-0.0372802,-2.43264,1.35392,-0.108771,0.00174182,1.68331,223
25.349168,-0.0128718,-2.39691,1.34258,-0.101981,-0.00373059,1.71698,224
