time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
11.542680,1.00375,-0.131306,0.518986,-0.0871401,0.0371003,0.0594837,65,0,0.9473,-0.0413018,0.686703,-0.098598,0.0644172,0.0558968
11.643074,1.03732,-0.130617,0.528435,-0.0749647,0.0410893,0.0556426,66,0,0.995546,-0.0427892,0.677575,-0.0828719,0.0676288,0.0480989
11.776932,1.10256,-0.127107,0.527304,-0.0587335,0.0352073,0.0543939,67,0,1.0574,-0.0420879,0.680212,-0.0696005,0.0568246,0.0560619
11.843861,1.13452,-0.134397,0.530529,-0.0555498,0.0296565,0.0650554,68,0,1.10221,-0.0407438,0.685023,-0.0629857,0.0444244,0.0664918
12.011215,1.21469,-0.132935,0.531341,-0.0404551,0.0267339,0.0772356,69,0,1.16489,-0.0443016,0.682483,-0.0446274,0.0525498,0.0812554
12.179014,1.29674,-0.141167,0.542109,-0.0405406,0.0213771,0.0944984,70,0,1.24329,-0.0462451,0.690231,-0.0537084,0.047582,0.0809699
12.246260,1.32224,-0.143605,0.541149,-0.0400734,0.0216565,0.0944795,71,0,1.28908,-0.0437678,0.68445,-0.057524,0.0626203,0.0740654
12.380753,1.38271,-0.13473,0.547403,-0.0480462,0.0439696,0.083501,72,0,1.33478,-0.0442664,0.683914,-0.0673657,0.0584656,0.061545
12.548870,1.45744,-0.139184,0.552883,-0.0457658,0.0340902,0.0519554,73,0,1.39614,-0.0503157,0.68014,-0.0631029,0.0583914,0.0247052
12.616116,1.49729,-0.116721,0.554535,-0.0442793,0.0452019,0.0188224,74,0,1.4269,-0.0535401,0.678397,-0.0571017,0.0618034,0.0219291
12.716986,1.55374,-0.115429,0.554099,-0.035792,0.0472126,0.0133688,75,0,1.48888,-0.0624856,0.676121,-0.038323,0.0520446,0.0253688
12.851479,1.60897,-0.125992,0.554026,-0.00938149,0.0300094,0.0145872,76,0,1.53195,-0.073809,0.676959,-0.0120119,0.0460281,0.0134079
12.985781,1.67371,-0.128358,0.560895,0.0155595,0.0257995,0.00313762,77,0,1.57661,-0.0823287,0.676692,0.000531481,0.0313008,0.0204192
13.086238,1.72786,-0.130711,0.565687,-0.00648382,0.0205094,0.0053367,78,0,1.62966,-0.0800956,0.677554,-0.0426313,0.0244287,0.021092
13.220065,1.77449,-0.139373,0.561003,-0.029695,0.015502,0.0110583,79,0,1.64988,-0.0810923,0.670821,-0.0527389,0.028487,0.0259856
13.320363,1.81259,-0.139297,0.559095,-0.0542903,0.0264333,0.0138728,80,0,1.69081,-0.081022,0.670584,-0.0787788,0.0369498,0.025091
13.454094,1.84818,-0.142176,0.562621,-0.0629193,0.0327622,0.010007,81,0,1.72148,-0.0801204,0.664998,-0.0779979,0.042232,0.0146964
13.621258,1.90657,-0.13539,0.56187,-0.0456375,0.0310038,0.0035185,82,0,1.78001,-0.0779014,0.667345,-0.0626434,0.0277373,0.0189162
13.754989,1.94585,-0.134955,0.56131,-0.0446328,0.0122833,0.0132096,83,0,1.80761,-0.0803793,0.665531,-0.0551426,0.0180158,0.0390944
13.922152,2.00148,-0.143433,0.562638,-0.0419486,0.0146156,0.0649268,84,0,1.84271,-0.0791638,0.658678,-0.0578089,0.020023,0.0665727
13.989018,2.01974,-0.143775,0.561283,-0.0403487,0.00113428,0.0769074,85,0,1.86379,-0.0800863,0.657535,-0.0507777,0.00534117,0.0839029
14.122749,2.04957,-0.138247,0.557855,-0.0313395,-0.00486256,0.091069,86,0,1.8853,-0.0771886,0.65791,-0.0477844,0.0146533,0.0910108
14.256639,2.07256,-0.133886,0.545976,-0.0365303,0.00692297,0.107688,87,0,1.89925,-0.0693473,0.641945,-0.0590713,0.0139011,0.108921
14.424406,2.0898,-0.1278,0.537741,-0.0579181,-0.00274533,0.116904,88,0,1.90875,-0.0610698,0.638426,-0.0570346,0.0087955,0.118426
14.592268,2.09507,-0.11822,0.531062,-0.0233923,0.0112011,0.128774,89,0,1.91097,-0.0591051,0.639893,-0.0340267,0.029526,0.119147
